Participantno,Age,CommuteTime,CountryCitizen,CountryLive,EmploymentField,EmploymentFieldOther,EmploymentStatus,ExpectedEarning,FinanciallySupporting,FirstDevJob,Gender,HasChildren,HasDebt,HasFinancialDependents,HasHighSpdInternet,HasHomeMortgage,HasServedInMilitary,HasStudentDebt,HomeMortgageOwe,HoursLearning,Income,IsEthnicMinority,IsReceiveDisabilitiesBenefits,IsSoftwareDev,IsUnderEmployed,LanguageAtHome,MaritalStatus,MoneyForLearning,MonthsProgramming
1,27,15 to 29 minutes,Canada,Canada,software development and IT,NA,Employed for wages,NA,NA,NA,female,NA,1,0,1,0,0,0,NA,15,NA,NA,0,0,0,English,married or domestic partnership,150,6
2,34,NA,United States of America,United States of America,NA,NA,Not working but looking for work,35000,NA,NA,male,NA,1,0,1,0,0,1,NA,10,NA,0,0,0,NA,English,"single, never married",80,6
3,21,15 to 29 minutes,United States of America,United States of America,software development and IT,NA,Employed for wages,70000,NA,NA,male,NA,0,0,1,NA,0,NA,NA,25,13000,1,0,0,0,Spanish,"single, never married",1000,5
4,26,I work from home,Brazil,Brazil,software development and IT,NA,Employed for wages,40000,0,NA,male,0,1,1,1,1,0,0,40000,14,24000,0,0,0,1,Portuguese,married or domestic partnership,0,5
5,20,NA,Portugal,Portugal,NA,NA,Not working but looking for work,140000,NA,NA,female,NA,0,0,1,NA,0,NA,NA,10,NA,0,0,0,NA,Portuguese,"single, never married",0,24
6,28,NA,Canada,Canada,NA,NA,Unable to work,NA,NA,NA,male,NA,0,0,1,NA,0,NA,NA,12,NA,0,1,0,NA,English,"single, never married",200,12
7,29,30 to 44 minutes,United Kingdom,United Kingdom,NA,Market research,Employed for wages,30000,NA,NA,female,NA,1,0,1,1,0,1,120000,16,40000,NA,0,0,0,English,married or domestic partnership,0,12
8,29,NA,India,United States of America,NA,NA,A stay-at-home parent or homemaker,NA,NA,NA,female,NA,0,0,1,NA,0,NA,NA,15,NA,1,0,0,NA,English,married or domestic partnership,0,4
9,23,I work from home,United States of America,United States of America,software development and IT,NA,Employed for wages,NA,NA,1,female,NA,0,0,1,NA,0,NA,NA,5,30000,0,0,1,0,English,"single, never married",700,29
10,24,NA,Mexico,Mexico,NA,NA,Not working but looking for work,100000,NA,NA,male,NA,0,0,1,NA,0,NA,NA,2,NA,0,0,0,NA,Spanish,"single, never married",100,18
11,20,Less than 15 minutes,United States of America,United States of America,NA,NA,Employed for wages,NA,NA,NA,male,NA,1,0,1,0,0,1,NA,15,20000,0,0,0,1,English,married or domestic partnership,0,5
